Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url,Is a RT,Original Tweet User Name,User Mentions,Hashtags,Symbols,Media,URLs,Negative,Neutral,Positive,Compound
1105345255119843329 ,2019-03-12,05:50,jumëx??,coldsodaz,"i like chorizo, eggz & shitty horror filmz","RT @gbral_: Captain Marvel definitely has its flaws with a weak story, bad action, and Captain Marvel not being an interesting character

S…",,1,,,,,http://pbs.twimg.com/profile_images/1094862793050705920/ywXaDQgu_normal.jpg,815,621,7,en,http://www.twitter.com/coldsodaz/status/1105345255119843329,TRUE,@gbral_,@gbral_,,,,,0.263,0.485,0.252,-0.092
1105345251227525120 ,2019-03-12,05:50,Nivenus,nivenus,"Social media manager by day, writer by night. Gamer and all around nerd. He/him. Aspie. Also known as Niirfa.","RT @Coolest_Breezy: So I wrote a thing about Captain Marvel! I hope you enjoy :)

https://t.co/GaYu1jxM6k",,2,37.36375,-79.28975,US,"Forest Grove, OR",http://pbs.twimg.com/profile_images/1103555315809738752/dIayh7G2_normal.jpg,516,1040,36,en,http://www.twitter.com/nivenus/status/1105345251227525120,TRUE,@Coolest_Breezy,@Coolest_Breezy,,,,https://observationdeck.kinja.com/the-protector-initiative-1833205193,0.0,0.425,0.575,0.9041
1105345250690621441 ,2019-03-12,05:50,smol ??,ling_arguablyqt,"reveries, revolutions & revelations",RT @capmadden: when I was walking out of captain marvel I overheard a little girl say “when I grow up I wanna glow just like her” to her da…,,3801,,,,,http://pbs.twimg.com/profile_images/1096722978945921026/AoGTaDPj_normal.jpg,249,293,,en,http://www.twitter.com/ling_arguablyqt/status/1105345250690621441,TRUE,@capmadden,@capmadden,,,,,0.0,0.806,0.194,0.6486
1105345249038295040 ,2019-03-12,05:50,?imen?  Lun?,jimmluna,"•You were created to create•       

?Arquitecta Constructora? Diseñadora Interiores ? Perfectamente Imperfecta
 @Designjla.  ??????","RT @suupergirl: No odié Captain Marvel, pero tampoco la amé y también creo que no merece ese hate desmedido. Lo mejor fue el gato.",,10,,,,,http://pbs.twimg.com/profile_images/1105328673002004480/BTPLPnF0_normal.jpg,1326,2582,6,es,http://www.twitter.com/jimmluna/status/1105345249038295040,TRUE,@suupergirl,@suupergirl,,,,,0.271,0.635,0.094,-0.6486
1105345245653295104 ,2019-03-12,05:50,Brie,Brie13v,'you look like the definition of feminism'-some tinder guy,RT @KaijiTang: rogue watching captain marvel be like https://t.co/VAAXov7EUr,,160,,,,,http://pbs.twimg.com/profile_images/1029171516947095552/MW_OAwcq_normal.jpg,26,87,1,en,http://www.twitter.com/Brie13v/status/1105345245653295104,TRUE,@KaijiTang,@KaijiTang,,,http://pbs.twimg.com/tweet_video_thumb/D1bDgMjU8AA2-1t.jpg,,0.0,0.569,0.431,0.6486
1105345242125893632 ,2019-03-12,05:50,Dawn Haggard,dawn_haggard,,"RT @JackPosobiec: Origin Stories

Batman: Parents murdered in front of him when he was a child

Superman: Entire planet destroyed, last of…",,417,,,,,http://pbs.twimg.com/profile_images/999317672855654400/w9ichgoA_normal.jpg,245,196,13,en,http://www.twitter.com/dawn_haggard/status/1105345242125893632,TRUE,@JackPosobiec,@JackPosobiec,,,,,0.286,0.714,0.0,-0.8225
1105345237118078977 ,2019-03-12,05:50,Frux the Wicker,the_mithxher,M / Homoflexible / Rocket League try hard / DJ wannabe / Eating cheese / A bit NSFW / Xhermith (Red Panda) & Frux (Wickerbeast),"@PaintedDog My current fav song is Spooky by Tokyo Machine, the song that Ive cried the most to is Teminite's remix of The Last One Alive by Demon Hunter, I dont think my friends have a Twitter yet, and Captain Marvel is a great movie will watch again 100000/10",,,,,,,http://pbs.twimg.com/profile_images/1100592877896458241/-DXTUJ_D_normal.jpg,37,110,,en,http://www.twitter.com/the_mithxher/status/1105345237118078977,FALSE,,@PaintedDog,,,,,0.089,0.694,0.217,0.8098
1105345235574353920 ,2019-03-12,05:50,Jake,letharjake,"/j?k/ (adj.)
all right; satisfactory",RT @KaijiTang: rogue watching captain marvel be like https://t.co/VAAXov7EUr,,160,14.6042,120.9822,PH,Philippines,http://pbs.twimg.com/profile_images/1100112678041743360/J351krzF_normal.jpg,380,849,1,en,http://www.twitter.com/letharjake/status/1105345235574353920,TRUE,@KaijiTang,@KaijiTang,,,http://pbs.twimg.com/tweet_video_thumb/D1bDgMjU8AA2-1t.jpg,,0.0,0.569,0.431,0.6486
1105345233909248000 ,2019-03-12,05:50,senuri | saw captain marvel,svnrns,higher further faster baby,RT @sapphicaptain: captain marvel (2019) https://t.co/0gUfNCRJeY,,260,-35.28346,149.12807,AU,australia    she/her    pisces,http://pbs.twimg.com/profile_images/1105059221781995520/qT7_QDhF_normal.jpg,247,734,,en,http://www.twitter.com/svnrns/status/1105345233909248000,TRUE,@sapphicaptain,@sapphicaptain,,,http://pbs.twimg.com/media/D1Ycqr8X4AAxvA1.jpg,,0.0,0.641,0.359,0.4215
1105345231749292032 ,2019-03-12,05:50,?FallenMarvel?,theFallenMarvel,Just a guy who likes talking about the simple nerdy things. Love life & being around extraordinary people. #NerdResponsibly,"The next chapter in the Marvel Cinematic Universe, Captain Marvel. Here are our thoughts. #CaptainMarvel #MCU #HigherFurtherFaster
https://t.co/gmx9Ukq1tE",,,40.00032,-86.25027,US,Indiana,http://pbs.twimg.com/profile_images/763787764928286720/u0puhkss_normal.jpg,121,165,6,en,http://www.twitter.com/theFallenMarvel/status/1105345231749292032,FALSE,,,"#CaptainMarvel,#MCU,#HigherFurtherFaster",,,https://youtu.be/JbDSVk-YvSI,0.0,0.741,0.259,0.6808
